Lajinumero,laji,"Kaikki Tammikuu, Helmikuu","Ensimmäiset viisi havaintoa 1.1. alkaen (x), ensimmäinen yli 10 yksilön havaint (10), enimmäinen yli sadan yksilön havainto (100)  ensimmäinen yli tuhannen yksilön havainto (1000)",Viimeiset viisi havaintoa vuoden lopusta,Vuoden viisi suurinta määrää,"Alkuvuoden viisi suurinta määrää, kuukaudet tammikuu – kesäkuu","Loppuvuoden viisi suurinta määrää, kuukaudet kuukaudet heinäkuu – joulukuu","Viisi suurinta kevään määrää, kuukaudet maaliskuu – toukokuu","Viisi kesän suurinta määrää, kuukaudet kesä-elokuu","Viisi suurinta syyskauden määrää, kuukaudet elokuu - lokakuu","Viisi talviajan suurinta määrää, kuukaudet tammi-helmikuu ja joulukuu",kaikki havainnot,kaikki kevään havainnot kuukaudet maaliskuu – toukokuu,kaikki kesän havainnot kuukauden kesäkuu – elokuu,"kaikki syksyn havainnot, kuukaudet elokuu – lokakuu","Kaikki tammi-helmikuun ja joulukuun havainnot, ei Oulusta","kaikki havainnot, kunnat Taivalkoski ja Pudasjärvi","kaikki havainnot, ei kunnat Taivalkoski ja Pudasjärvi",Havaintojen lukumäärä kunnittai kunnan nimi tai  nimilyhenne),Kaikki joulukuu,"Salatut hvainnot; jos laji on salattu (merkintä salattu TIIIRA-aineistossa) JA laji tulee lajilistauskeen, merkitään seuraavsti ***SALATTU HAVAINTO ***"
1,Kyhmyjoutsen,x,X;10;100,x,,,,x,x,x,,,,,,,,,,x,x
2,Pikkujoutsen,,x,x,,x,x,,,,,,,x,,,,,,,x
3,Laulujoutsen,x,X;10;100,x,,,,x,x,x,,,,,,,,,,x,x
4,Metsähanhi,x,X;10;100;1000,x,,,,x,x,x,,,,x,,,,,,x,x
5,Harmaahanhilaji,x,X;10;100;1000,x,,,,x,x,x,,,,,,,,,,x,x
6,Tundrametsähanhi,x,X;10;100;1000,x,,,,x,x,x,,,,,,,,,,x,x
7,Lyhytnokkahanhi,x,X;10;100;1000,x,,,,x,x,x,,,,x,x,,,,,x,x
8,Tundrahanhi,x,x,x,,,,x,x,x,,,,,,,,,,x,x
9,Kiljuhanhi,,,,,,,,,,,x,,,,,,,,,x
10,Merihanhi,x,X;10;100;1000,x,,,,x,x,x,,,,,,,,,,x,x
11,Tiibetinhanhi,,,,,,,,,,,x,,,,,,,,,x
12,Kanadanhanhi,x,X;10;100;1000,x,,,,x,x,x,,,,x,,,,,,x,x
13,Valkoposkihanhi,,x,x,,,,x,x,x,,,,,,,,,,,x
14,Sepelhanhi,,,,,,,,,,,x,,,,,,,,,x
15,Ristisorsa,x,X;10;100;1000,x,,,,x,x,x,,,,,,,,,,x,x
16,Haapana,x,X;10;100;1000,x,,,,x,x,x,,,,,,,,,,x,x
